,name,url,area_genre,rating,holiday,dinner_price,lunch_price
85,ニコラス精養堂,https://tabelog.com/tw/tokyo/A1317/A131709/13049494/,"松陰神社前車站 / 麵包, 蛋糕, 甜食",3.60,"星期日, 節假日", - JPY 999,-
86,エシレ・パティスリー オ ブール 西武池袋店,https://tabelog.com/tw/tokyo/A1305/A130501/13266154/,池袋車站 / 西式甜點,3.60,-,-,-
87,スギノキ,https://tabelog.com/tw/tokyo/A1316/A131603/13091839/,"五反田車站 / 麵包, 三明治, 西式甜點",3.60,星期一, - JPY 999,-
88,ルポ バイ パティスリーイーズ,https://tabelog.com/tw/tokyo/A1304/A130401/13251056/,"新宿三丁目車站 / 蛋糕, 甜食",3.60,-,-,-
89,Goûter,https://tabelog.com/tw/tokyo/A1317/A131702/13291161/,"學藝大學車站 / 麵包, 西式甜點",3.60,星期四, - JPY 999, - JPY 999
90,どら焼き まかな,https://tabelog.com/tw/tokyo/A1329/A132904/13209970/,"八王子車站 / 銅鑼燒, 咖啡店",3.60,星期三, - JPY 999,-
91,穂の香 自由が丘店,https://tabelog.com/tw/tokyo/A1317/A131715/13138328/,"九品佛車站 / 麵包, 蛋糕",3.60,星期一, - JPY 999,-
92,茶の葉 松屋銀座店,https://tabelog.com/tw/tokyo/A1301/A130101/13007734/,"銀座車站 / 咖啡店, 刨冰, 日式點心",3.60,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
93,櫻井焙茶研究所,https://tabelog.com/tw/tokyo/A1306/A130602/13197815/,"表參道車站 / 咖啡店, 酒吧, 刨冰",3.60,-,-,"JPY 8,000 - JPY 9,999"
94,巴裡 小川軒 目黒店,https://tabelog.com/tw/tokyo/A1317/A131702/13008192/,學藝大學車站 / 蛋糕,3.60,"星期日, 節假日","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
95,オーブン・ミトン,https://tabelog.com/tw/tokyo/A1325/A132501/13200583/,"武藏小金井車站 / 蛋糕, 西式甜點, 咖啡店",3.60,"星期一, 星期二, 星期三, 星期四, 星期五, 星期日",-,"JPY 1,000 - JPY 1,999"
96,Fruit Chef The Shop,https://tabelog.com/tw/tokyo/A1302/A130204/13265731/,"人形町車站 / 西式甜點, 咖啡店, 麵包",3.60,星期三,-,"JPY 1,000 - JPY 1,999"
97,ユニコーンベーカリー,https://tabelog.com/tw/tokyo/A1325/A132503/13162519/,"國立車站 / 西式甜點, 麵包",3.60,"星期三, 星期四", - JPY 999,-
98,ラ・スプランドゥール,https://tabelog.com/tw/tokyo/A1317/A131714/13036989/,久原車站 / 蛋糕,3.60,-,"JPY 1,000 - JPY 1,999",-
99,エーケーラボ,https://tabelog.com/tw/tokyo/A1320/A132002/13161208/,"三鷹車站 / 蛋糕, 咖啡店, 麵包",3.60,-, - JPY 999,-
100,The CAFE 町田,https://tabelog.com/tw/tokyo/A1327/A132701/13168684/,"町田車站 / 咖啡店, 咖啡館, 布丁",3.59,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
101,夜パフェ専門店パフェテリア　ベル,https://tabelog.com/tw/tokyo/A1303/A130301/13213633/,"澀谷車站 / 水果聖代, 咖啡店, 意式冰淇淋/冰淇淋",3.59,-,"JPY 2,000 - JPY 2,999",-
102,ラシーヌ ブレッド&サラダ,https://tabelog.com/tw/tokyo/A1305/A130501/13251099/,"都電雜司谷車站 / 麵包, 甜甜圈, 小菜",3.59,-, - JPY 999,"JPY 1,000 - JPY 1,999"
103,サロン ベイクアンドティー,https://tabelog.com/tw/tokyo/A1304/A130401/13193544/,"新宿車站 / 咖啡店, 蛋糕",3.59,-,"JPY 2,000 - JPY 2,999","JPY 2,000 - JPY 2,999"
104,INITIAL 表参道,https://tabelog.com/tw/tokyo/A1306/A130601/13233470/,"明治神宮前車站 / 甜食, 咖啡店, 意式冰淇淋/冰淇淋",3.59,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
105,202カリー堂,https://tabelog.com/tw/tokyo/A1318/A131802/13266529/,"下北澤車站 / 湯咖哩, 咖啡店, 西式甜點",3.59,星期三,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
106,I’m donut ? omotesando,https://tabelog.com/tw/tokyo/A1306/A130602/13289109/,表參道車站 / 甜甜圈,3.59,-, - JPY 999, - JPY 999
107,BUTTER 美瑛放牧酪農場,https://tabelog.com/tw/tokyo/A1302/A130201/13284751/,"二重橋前車站 / 咖啡店, 甜食",3.59,-,"JPY 2,000 - JPY 2,999","JPY 2,000 - JPY 2,999"
108,赤坂おぎ乃 和甘,https://tabelog.com/tw/tokyo/A1308/A130802/13291640/,"虎之門Hills車站 / 甜食, 銅鑼燒, 意式冰淇淋/冰淇淋",3.59,-, - JPY 999,-
109,コパン,https://tabelog.com/tw/tokyo/A1309/A130905/13087827/,"神樂坂車站 / 咖啡館, 蛋糕, 咖啡店",3.59,-, - JPY 999, - JPY 999
110,エミリー・フローゲ,https://tabelog.com/tw/tokyo/A1329/A132901/13016256/,"立川北車站 / 咖啡店, 蛋糕",3.59,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
111,銀座 和蘭豆,https://tabelog.com/tw/tokyo/A1301/A130101/13007781/,"銀座車站 / 咖啡館, 蛋糕",3.59,-,-, - JPY 999
112,ル・カフェ・ヴィー,https://tabelog.com/tw/tokyo/A1301/A130101/13257245/,"銀座車站 / 咖啡店, 巧克力",3.59,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
113,神田珈琲園 神田北口店,https://tabelog.com/tw/tokyo/A1310/A131002/13111193/,"神田車站 / 咖啡館, 咖啡店, 蛋糕",3.59,-, - JPY 999, - JPY 999
114,赤坂青野 赤坂見附店,https://tabelog.com/tw/tokyo/A1308/A130801/13038106/,赤坂見附車站 / 日式點心,3.59,-, - JPY 999,-
115,ミラノ ドルチェ トレ・スパーデ,https://tabelog.com/tw/tokyo/A1307/A130702/13186012/,"麻布十番車站 / 布丁, 蛋糕, 咖啡店",3.59,-,"JPY 1,000 - JPY 1,999", - JPY 999
116,元祖千成もなか 巣鴨店,https://tabelog.com/tw/tokyo/A1323/A132301/13012338/,"巢鴨車站 / 日式點心, 日式甜點店",3.59,-, - JPY 999, - JPY 999
117,BIEN-ETRE MAISON,https://tabelog.com/tw/tokyo/A1318/A131811/13271828/,"代代木上原車站 / 咖啡店, 蛋糕",3.59,星期四,-,"JPY 2,000 - JPY 2,999"
118,ポワン エ リーニュ 神楽坂店,https://tabelog.com/tw/tokyo/A1309/A130905/13292195/,"神樂坂車站 / 麵包, 西式甜點",3.59,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
119,ビスキュイテリエ ブルトンヌ 池袋東武店,https://tabelog.com/tw/tokyo/A1305/A130501/13214374/,池袋車站 / 西式甜點,3.59,-, - JPY 999, - JPY 999
120,スタア バー,https://tabelog.com/tw/tokyo/A1301/A130102/13219774/,"日比谷車站 / 酒吧, 刨冰",3.59,星期一,"JPY 4,000 - JPY 4,999",-
121,Galerie ASAHINA,https://tabelog.com/tw/tokyo/A1307/A130701/13288120/,"六本木車站 / 法式料理, 甜食",3.59,"星期一, 節假日後","JPY 10,000 - JPY 14,999","JPY 10,000 - JPY 14,999"
122,祇園辻利 東京スカイツリータウン・ソラマチ店,https://tabelog.com/tw/tokyo/A1312/A131203/13141261/,"押上車站 / 軟冰淇淋, 咖啡店",3.58,-,-,"JPY 1,000 - JPY 1,999"
123,Little Darling Coffee Roasters,https://tabelog.com/tw/tokyo/A1307/A130701/13225981/,"乃木坂車站 / 咖啡店, 甜食, 咖啡攤",3.58,-, - JPY 999, - JPY 999
124,ラルフズ コーヒー 表参道,https://tabelog.com/tw/tokyo/A1306/A130601/13227420/,"明治神宮前車站 / 咖啡店, 甜食, 麵包",3.58,-, - JPY 999, - JPY 999
125,カフェ　ムルソー,https://tabelog.com/tw/tokyo/A1311/A131102/13008610/,"淺草車站 / 咖啡店, 蛋糕, 餐酒吧",3.58,-,"JPY 3,000 - JPY 3,999","JPY 2,000 - JPY 2,999"
126,ダンボ ドーナツ アンド コーヒー 麻布十番本店,https://tabelog.com/tw/tokyo/A1307/A130702/13200364/,"麻布十番車站 / 甜甜圈, 咖啡店",3.58,-, - JPY 999, - JPY 999
127,カナルカフェブティック,https://tabelog.com/tw/tokyo/A1309/A130905/13120158/,"飯田橋車站 / 咖啡店, 巧克力, 蛋糕",3.58,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
128,アム ストラム グラム,https://tabelog.com/tw/tokyo/A1303/A130302/13254145/,代官山車站 / 蛋糕,3.58,星期二,-,"JPY 1,000 - JPY 1,999"
129,ブリッジ コーヒーアンドアイスクリーム,https://tabelog.com/tw/tokyo/A1302/A130204/13216784/,"馬食町車站 / 咖啡店, 意式冰淇淋/冰淇淋",3.58,-,"JPY 1,000 - JPY 1,999", - JPY 999
130,ジェラート ピケ カフェ クレープリー ルミネ池袋,https://tabelog.com/tw/tokyo/A1305/A130501/13174165/,"池袋車站 / 咖啡店, 可麗餅/法式薄餅",3.58,-, - JPY 999,"JPY 1,000 - JPY 1,999"
131,カフェ・ハイチ 新宿センタービル店,https://tabelog.com/tw/tokyo/A1304/A130401/13019157/,"都廳前車站 / 咖啡店, 蛋糕, 咖喱",3.58,-,-, - JPY 999
132,トウキョウシェイブアイス ネコゴオリ,https://tabelog.com/tw/tokyo/A1315/A131502/13233093/,大森海岸車站 / 刨冰,3.58,-,-,"JPY 1,000 - JPY 1,999"
133,ランデブーラウンジ・バー,https://tabelog.com/tw/tokyo/A1301/A130102/13019119/,"日比谷車站 / 咖啡店, 酒吧, 蛋糕",3.58,-,"JPY 3,000 - JPY 3,999","JPY 2,000 - JPY 2,999"
134,Giolitti Cafe 有楽町店,https://tabelog.com/tw/tokyo/A1301/A130102/13262740/,"有樂町車站 / 意式冰淇淋/冰淇淋, 咖啡店, 義大利料理",3.58,-,"JPY 3,000 - JPY 3,999","JPY 1,000 - JPY 1,999"
